|Sociedad CO|Equipo|Denominación|Perfil catálogo|Ubicac.técnica|Indicador ABC|Área de empresa|Pto.tbjo.resp.|Clase de aviso|Aviso|Descripción|Creado el|Inicio deseado|Fin deseado|Prioridad|Fecha de cierre|Status usuario|Status sistema|Autor del aviso|descripcion|descripcion2
156|ISA|111691|Reactor línea monofásico 500 kV-B|N-REACTO|CHIN500R22MC-REACT||NOR|38B60001|N4|351247|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-13|2014-02-14|3.0|2014-02-19|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
157|ISA|111966|Reactor línea monofásico 500 kV-C|N-REACTO|CHIN500R11MC-REACT||NOR|38B60001|N4|351235|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-05-13|2014-05-13|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
158|ISA|111989|Reactor línea monofásico 500 kV-C|N-REACTO|CHIN500R23MC-REACT||NOR|38B60001|N4|351250|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-05-11|2014-05-11|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
159|ISA|112135|Reactor línea monofásico 500 kV-B|N-REACTO|CERR500R12MC-REACT||NOR|38B60001|N4|351270|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-04|2014-02-04|3.0|2014-02-07|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
160|ISA|112136|Reactor línea monofásico 500 kV-C|N-REACTO|CERR500R12MC-REACT||NOR|38B60001|N4|351271|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-04|2014-02-04|3.0|2014-02-07|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
161|ISA|112245|Reactor línea monofásico 500 kV-RV|N-REACTO|CERR500R13MC-REACT||NOR|38B60001|N4|351275|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-05|2014-02-05|3.0|2014-02-06|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
162|ISA|112246|Reactor línea monofásico 500 kV-C|N-REACTO|CERR500R13MC-REACT||NOR|38B60001|N4|351276|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-05|2014-02-05|3.0|2014-02-06|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
163|ISA|115058|Autotrafo Monofásico 500/230 kV-C|N-AUTOTR|SCAR230ATR-1-AUTOT||NOR|38B60001|N4|351168|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-01-20|2014-01-23|3.0|2014-01-28|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
164|ISA|115104|Reactor línea monofásico 500 kV-RV|N-REACTO|SCAR500R21MC-REACT||NOR|38B60001|N4|351198|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-05-15|2014-05-15|3.0|2014-03-27|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
165|ISA|117258|Reactor línea monofásico 500 kV-B|N-REACTO|CERR500R21MC-REACT||NOR|38B60001|N4|351282|Medir Aislamient Cableado Prot Mecanicas|2013-12-27|2014-02-08|2014-02-08|3.0|2014-02-08|INIC|MECE ORAS|WAOVIEDO|medir aislamient cableado prot mecanicas|cambiar aislamient
