real;predicho;Equipo;;;;;;;;;;;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
realizar muestreo-analisis fsco-qco oltc;aplicar sikaflex 1a protecciones mecanic;123167;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;123168;0;0;0;0;0;1;0;1;0;0;0;3;0;0;3;3;0;0;0;0;0;0
otro;otro;116143;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;116144;0;0;0;0;0;1;0;1;0;0;0;5;0;0;0;8;0;0;0;0;0;0
realizar secado oltc;otro;2008032;0;0;0;0;0;1;0;1;0;0;9;3;9;9;0;8;0;0;0;0;0;0
realizar secado oltc;revisar/cambiar motoventilador;2008033;0;0;0;0;0;2;0;2;0;0;9;5;9;9;0;8;0;0;0;0;0;0
cambiar silica oltc;otro;2008033;0;0;0;0;0;2;0;2;0;0;9;5;9;9;0;8;0;0;0;0;0;0
cambiar silica oltc;aplicar sikaflex 1a protecciones mecanic;810049;0;0;0;0;0;9;0;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0
cambiar silica oltc;revisar/cambiar motoventilador;810050;0;0;0;0;0;9;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0
realizar secado oltc;otro;2008034;0;0;0;0;0;2;0;2;0;0;9;5;9;9;0;8;0;0;0;0;0;0
otro;cambiar silica oltc;2004555;0;0;0;0;0;2;0;2;0;0;0;5;0;0;0;9;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;2008034;0;0;0;0;0;2;0;2;0;0;9;5;9;9;0;8;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;2008032;0;0;0;0;0;1;0;1;0;0;9;5;9;9;0;8;0;0;0;0;0;0
otro;realizar muestreo-analisis fsco-qco oltc;2008033;0;0;0;0;0;2;0;2;0;0;9;5;9;9;0;8;0;0;0;0;0;0
otro;aplicar sikaflex 1a protecciones mecanic;2008034;0;0;0;0;0;2;0;2;0;0;9;3;9;9;0;8;0;0;0;0;0;0
cambiar silica oltc;realizar secado oltc;202278;0;0;0;0;0;2;0;2;0;0;0;3;0;0;0;3;0;0;0;0;0;0
cambiar silica oltc;realizar muestreo-analisis fsco-qco oltc;202280;0;0;0;0;0;2;0;2;0;0;0;3;0;0;0;3;0;0;0;0;0;0
cambiar silica oltc;revisar/cambiar motoventilador;201120;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;cambiar silica oltc;400039;0;0;0;0;0;0;0;0;0;0;0;2;0;2;3;3;0;0;0;0;0;0
cambiar silica oltc;otro;808998;0;0;0;0;0;9;0;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0
cambiar silica oltc;otro;808998;0;0;0;0;0;9;0;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;809582;7;7;7;0;7;8;0;8;0;0;0;2;0;2;0;3;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;realizar muestreo-analisis fsco-qco oltc;811531;2;0;2;0;0;9;0;8;8;0;0;3;0;0;0;8;0;0;0;0;0;0
realizar muestreo-analisis fsco-qco oltc;otro;2005671;0;0;0;0;0;3;0;3;0;0;0;2;2;0;0;9;0;0;0;0;0;0
cambiar silica oltc;hacer seguimiento generacion anormal de gases;810551;0;0;0;0;0;8;0;8;0;0;2;5;0;0;0;9;0;0;0;0;0;0
cambiar silica oltc;realizar secado oltc;810550;0;0;0;0;0;8;0;8;0;0;2;5;9;8;0;8;0;0;0;0;0;0
cambiar silica oltc;otro;810550;0;0;0;0;0;8;0;8;0;0;2;5;9;8;0;8;0;0;0;0;0;0
cambiar silica oltc;aplicar sikaflex 1a protecciones mecanic;810551;0;0;0;0;0;8;0;8;0;0;2;3;9;0;0;3;0;0;0;0;0;0
otro;revisar/cambiar motoventilador;807717;3;0;3;0;0;9;0;9;0;0;0;2;0;0;2;0;0;0;0;0;0;0
