;Equipo;Descripción;DGA;DGA-T.ACE;DGA-T.PAP;DGA-DP;DGA-ARC;OIL.TAP;ADIT.OIL;ADIT.OIL-DBPC;ADIT.OIL-BTZ;OIL.CORR;OIL;OIL-DIE;OIL-FQ;BUJ;INSP;INSP-ENF;INSP-PRO.M;INSP-M.OLTC;INSP-CUB;INSP-GAB;INSP-BUJ.TER;HUM.PAP;HUM.PAP-DELTA;HUM.PAP-T.M;HUM.PAP-T.TRF;HUM.PAP-FECHA;HUM.PAP-DIAG;HUM.PAP-WHRT;HUM;HUM-DELTA;HUM-T.M;HUM-T.TRF;HUM-FECHA;HUM-DIAG;FUR;FUR-2FAL;FUR-TOT;FUR-RAT;FUR-REL;FUR-MAX;PF.DEV;PF.DEV-GND;PF.DEV-BARR;PF.DEV-PRESB;SFRA;SFRA-RAD;SFRA-AXI;SFRA-BULK;SFRA-CORE;SFRA-IMP;SFRA-CONT;SFRA-SELF;SFRA-IMG;SFRA-NO.DIAG
119;2005670;realizar muestreo-analisis fsco-qco oltc;7;7;7;;7;2;;;;;2;;2;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;400039;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;3;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;400039;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;810049;cambiar silica oltc;;;;;;9;;;;;9;;;1;;;;;;;;6;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
123;810050;cambiar silica oltc;;;;;;9;;;;;9;;;2;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;400039;realizar secado oltc;;;;;;1;;;;;1;;;;2;;;2;9;;;3;3;;;;;;3;3;;;;3;;;;;;;;;;;;;;;;;;;;
125;809578;otro;;;;;;9;;;;;2;2;;1;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;201232;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;200597;realizar secado oltc;1;1;1;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;202718;realizar secado oltc;;;;;;1;;;;;1;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;202455;realizar muestreo-analisis fsco-qco oltc;;;;;;9;;;;;9;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;808069;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;2;3;;;;3;;;6;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
131;119233;cambiar silica oltc;;;;;;9;;;;;9;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;202455;otro;;;;;;9;;;;;9;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;2005480;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;400039;realizar secado oltc;;;;;;1;;;;;1;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;123167;cambiar silica oltc;;;;;;;;;;;;;;2;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;118095;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;2004555;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;;;;5;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;2008032;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;;;9;5;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;2008033;realizar muestreo-analisis fsco-qco oltc;;;;;;2;;;;;2;;;9;5;9;9;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;201583;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;123167;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;2;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;123168;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;123168;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;123168;realizar muestreo-analisis fsco-qco oltc;;;;;;1;;;;;1;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;201583;realizar secado oltc;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;116143;otro;;;;;;2;;;;;2;;;;5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;200597;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;200597;realizar muestreo-analisis fsco-qco oltc;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
