Equipo;Posición medida;Valor medido;Fecha;Texto;Texto Ampliado
141061;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141062;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141064;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141065;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141067;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141068;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141070;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141071;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141073;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141074;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141076;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141077;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141079;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141080;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141082;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
141083;BUJE TOTAL;9,00;01/03/2021;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CA;9=C1_SIN CALIF/C2T_SIN CALIF/9=VF_SIN CALIF/9=TERM_SIN CALIF
301713;EQUIPO TOTAL;5,00;19/02/2021;;
301714;EQUIPO TOTAL;5,00;19/02/2021;;
300392;EQUIPO TOTAL;5,00;19/02/2021;;
300391;REACTOR TOTAL;3,00;19/02/2021;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC/ /3-INS;7-DGA=7-T.ACE/7-T.PAP/7-PD/7-ARC/ /3-INSP=9-ENF/ 3-CUB/9-GAB/8-BUJ/
118423;REACTOR TOTAL;2,00;18/02/2021;/2-INSP= 2-PRO-M/2-CUB/9-GAB/8-BUJ/;
118424;REACTOR TOTAL;2,00;18/02/2021;/2-INSP= 2-PRO-M/3-CUB/9-GAB/8-BUJ/;
301907;EQUIPO TOTAL;5,00;09/02/2021;/9-OIL.TAP/;
301909;EQUIPO TOTAL;3,00;09/02/2021;3-HUMEDAD EN PAPEL: /3-HUM_PAP= NO.EQ//9;3-HUMEDAD EN PAPEL: /3-HUM_PAP= NO.EQ//9-OIL.TAP/
808997;EQUIPO TOTAL;1,00;09/02/2021;1-DGA: FALLA TÉRMICA ACEITE.DESCARGA PAR;1-DGA: FALLA TÉRMICA ACEITE.DESCARGA PARCIAL. 3-INSPECCIONES OPERATIVAS: CONDICIÓN CUBA. 1-DGA=T-ACE(D)/ DP(D)/ /9-OIL.TAP/ /3-INSP=  9-CUB/3-BUJ/
301906;EQUIPO TOTAL;5,00;09/02/2021;/9-OIL.TAP/;
140715;EQUIPO TOTAL;5,00;09/02/2021;/5-INSP=9-ENF/ 8-BUJ/;
400039;EQUIPO TOTAL;2,00;09/02/2021;2-INSPECCIONES OPERATIVAS: MANDO Y FILTR;2-INSPECCIONES OPERATIVAS: MANDO Y FILTRO OLTC.CONDICIÓN CUBA. /2-INSP= 2-PRO-M/3-M.OLTC/3-CUB/ 3-P.CUB/
118094;EQUIPO TOTAL;5,00;09/02/2021;;
